,YEAR,ALARM_DATE,GIS_ACRES,CAUSE,MONTH,DAY,MONTH_NAME
1088,2004,2004-01-01 00:00:00,512.9036,18 - Escaped Prescribed Burn,1,001,Jan
1816,2014,2014-01-02 00:00:00,864.9468,4 - Campfire,1,002,Jan
1797,2014,2014-01-04 00:00:00,332.1736,5 - Debris,1,004,Jan
1215,2007,2007-01-07 00:00:00,208.7144,14 - Unknown / Unidentified,1,007,Jan
1434,2009,2009-01-08 00:00:00,1833.164,1 - Lightning,1,008,Jan
1826,2014,2014-01-13 00:00:00,1423.232,9 - Miscellaneous,1,013,Jan
1810,2014,2014-01-16 00:00:00,1951.893,4 - Campfire,1,016,Jan
580,1924,1924-01-19 00:00:00,330.4997,14 - Unknown / Unidentified,1,019,Jan
1839,2014,2014-01-22 00:00:00,104.1804,10 - Vehicle,1,022,Jan
957,1976,1976-01-22 00:00:00,650.4243,14 - Unknown / Unidentified,1,022,Jan
910,1961,1961-01-23 00:00:00,131.1655,5 - Debris,1,023,Jan
1156,2006,2006-01-23 00:00:00,477.1114,4 - Campfire,1,023,Jan
1796,2014,2014-01-25 00:00:00,102.4423,14 - Unknown / Unidentified,1,025,Jan
1413,2009,2009-02-05 00:00:00,943.448,18 - Escaped Prescribed Burn,2,036,Feb
1881,2015,2015-02-06 00:00:00,512.4335,14 - Unknown / Unidentified,2,037,Feb
1243,2007,2007-02-17 00:00:00,168.8155,1 - Lightning,2,048,Feb
959,1977,1977-02-18 00:00:00,631.8166,4 - Campfire,2,049,Feb
1668,2012,2012-02-23 00:00:00,196.7218,18 - Escaped Prescribed Burn,2,054,Feb
1172,2006,2006-02-24 00:00:00,3023.023,5 - Debris,2,055,Feb
1729,2013,2013-02-24 00:00:00,406.8415,14 - Unknown / Unidentified,2,055,Feb
1763,2013,2013-02-28 00:00:00,362.2378,14 - Unknown / Unidentified,2,059,Feb
1525,2011,2011-03-02 00:00:00,908.4495,18 - Escaped Prescribed Burn,3,061,Mar
